sex,program,ed_level
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,less than high school
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,master-level degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,high school
Male,none,master-level degree
Male,none,doctorate
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,high school
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,doctorate
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,doctorate
Male,none,master-level degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,high school
Male,none,some college
Male,none,less than high school
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,master-level degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,some college
Male,none,some college
Male,none,some college
Male,none,master-level degree
Male,none,less than high school
Male,none,less than high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,high school
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,less than high school
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,master-level degree
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,less than high school
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
